row_id,itemid,label,abbreviation,dbsource,linksto,category,unitname,param_type,conceptid
1,1435,Sustained Nystamus,,carevue,chartevents,,,,
2,1436,Tactile Disturbances,,carevue,chartevents,,,,
3,1437,Tremor,,carevue,chartevents,,,,
4,1438,Ulnar Pulse [Right],,carevue,chartevents,,,,
5,1439,Visual Disturbances,,carevue,chartevents,,,,
6,1447,Transpulmonary Pres,,carevue,chartevents,,,,
7,1448,Vd/Vt:,,carevue,chartevents,,,,
8,1449,Arterial BP(Rad),,carevue,chartevents,,,,
9,1450,level one,,carevue,chartevents,,,,
10,1451,L girth size,,carevue,chartevents,,,,
11,1452,#1 chest tube irrig.,,carevue,chartevents,,,,
12,1453,CT DRSG,,carevue,chartevents,,,,
13,1454,r hips drsg change,,carevue,chartevents,,,,
14,1455,fingerstick glucose,,carevue,chartevents,,,,
15,1456,popliteal pulse r/l,,carevue,chartevents,,,,
16,1457,CPAP,,carevue,chartevents,,,,
17,1458,L ankle dsg change,,carevue,chartevents,,,,
18,1459,gluteral drsg change,,carevue,chartevents,,,,
19,1460,D5W 100meq NaHC03,,carevue,chartevents,,,,
20,1462,wrist  restraints,,carevue,chartevents,,,,
21,1463,pad count,,carevue,chartevents,,,,
22,1464,ZZZly Wake Up,,carevue,chartevents,,,,
23,1465,Back Dsg,,carevue,chartevents,,,,
24,1466,ATC,,carevue,chartevents,,,,
25,1467,Pericare,,carevue,chartevents,,,,
26,1468,HI/Minute/Vol/alarm,,carevue,chartevents,,,,
27,1,% Inspir. Time,,carevue,chartevents,,,,
28,2,ABI (L),,carevue,chartevents,,,,
29,3,ABI (R),,carevue,chartevents,,,,
30,4,ABI Ankle BP [Right],,carevue,chartevents,,,,
31,5,ABI Brachial BP [Right],,carevue,chartevents,,,,
32,6,ABP [Systolic],,carevue,chartevents,,,,
33,24,ART Lumen Volume,,carevue,chartevents,,,,
34,25,AV Interval,,carevue,chartevents,,,,
35,26,AaDO2,,carevue,chartevents,,,,
36,27,Abdominal Assessment,,carevue,chartevents,,,,
37,28,Abdominal Girth,,carevue,chartevents,,,,
38,29,Access mmHg,,carevue,chartevents,,,,
39,31,Activity,,carevue,chartevents,,,,
40,32,Activity Tolerance,,carevue,chartevents,,,,
41,34,Add Gas Flow (Vent),,carevue,chartevents,,,,
42,35,Additional Gas (lpm),,carevue,chartevents,,,,
43,36,Additional Gas(Mask),,carevue,chartevents,,,,
44,37,Additional Gas(Vent),,carevue,chartevents,,,,
45,38,Airway,,carevue,chartevents,,,,
46,39,Airway Size,,carevue,chartevents,,,,
47,40,Airway Type,,carevue,chartevents,,,,
48,41,Alarms Activated,,carevue,chartevents,,,,
49,43,Angio Appearance #1 [Attribute 1],,carevue,chartevents,,,,
50,44,Angio Appearance #2 [Attribute 1],,carevue,chartevents,,,,
51,45,Angio Dressing #1,,carevue,chartevents,,,,
52,46,Angio Dressing #2,,carevue,chartevents,,,,
53,47,Angio Site #1,,carevue,chartevents,,,,
54,48,Angio Site #2,,carevue,chartevents,,,,
55,49,Anti-Embolism [Device],,carevue,chartevents,,,,
56,50,Apnea Time Interval,,carevue,chartevents,,,,
57,51,Arterial BP [Systolic],,carevue,chartevents,,,,
58,52,Arterial BP Mean,,carevue,chartevents,,,,
59,53,Arterial Pressure,,carevue,chartevents,,,,
60,54,Assistance Device,,carevue,chartevents,,,,
61,55,Assisted Systole,,carevue,chartevents,,,,
62,56,Atrial Pacemaker [Sense],,carevue,chartevents,,,,
63,57,Atrial Pacemaker Threshold [Unit],,carevue,chartevents,,,,
64,58,Atrial Pacemaker [mA],,carevue,chartevents,,,,
65,59,Augmented Diastole,,carevue,chartevents,,,,
66,60,Auto-PEEP Level,,carevue,chartevents,,,,
67,61,AvDO2,,carevue,chartevents,,,,
68,62,BAEDP,,carevue,chartevents,,,,
69,63,BIPAP - BPM,,carevue,chartevents,,,,
70,64,BIPAP - EPAP,,carevue,chartevents,,,,
71,65,BIPAP - Est. Vt,,carevue,chartevents,,,,
72,66,BIPAP - IPAP,,carevue,chartevents,,,,
73,67,BIPAP - O2 lpm,,carevue,chartevents,,,,
74,68,BIPAP-Mode,,carevue,chartevents,,,,
75,69,BSA,,carevue,chartevents,,,,
76,70,BSA - English,,carevue,chartevents,,,,
77,71,BSA - Metric,,carevue,chartevents,,,,
78,72,Back Care,,carevue,chartevents,,,,
79,74,Base Excess,,carevue,chartevents,,,,
80,75,Baseline Current/mA,,carevue,chartevents,,,,
81,76,Bath,,carevue,chartevents,,,,
82,77,Behavior,,carevue,chartevents,,,,
83,78,Bladder Irrigation,,carevue,chartevents,,,,
84,79,Blood Flow ml/min,,carevue,chartevents,,,,
85,80,Bowel Sounds,,carevue,chartevents,,,,
86,81,Brachial Pulse [Right],,carevue,chartevents,,,,
87,82,Braden Activity,,carevue,chartevents,,,,
88,83,Braden Frict/Shear,,carevue,chartevents,,,,
89,84,Braden Mobility,,carevue,chartevents,,,,
90,85,Braden Moisture,,carevue,chartevents,,,,
91,86,Braden Nutrition,,carevue,chartevents,,,,
92,87,Braden Score,,carevue,chartevents,,,,
93,88,Braden SensoryPercep,,carevue,chartevents,,,,
94,89,C.O. (fick),,carevue,chartevents,,,,
95,90,C.O.(thermodilution),,carevue,chartevents,,,,
96,91,CPM,,carevue,chartevents,,,,
97,92,CPP,,carevue,chartevents,,,,
98,93,CT #1 Crepitus,,carevue,chartevents,,,,
99,94,CT #1 Drainage,,carevue,chartevents,,,,
100,95,CT #1 Dressing,,carevue,chartevents,,,,
101,96,CT #1 [Fluctuate],,carevue,chartevents,,,,
102,97,CT #1 Suction Amount,,carevue,chartevents,,,,
103,98,CT #2 Crepitus,,carevue,chartevents,,,,
104,99,CT #2 Drainage,,carevue,chartevents,,,,
105,100,CT #2 Dressing,,carevue,chartevents,,,,
106,101,CT #2 [Fluctuate],,carevue,chartevents,,,,
107,102,CT #2 Suction Amount,,carevue,chartevents,,,,
108,103,CT #3 Crepitus,,carevue,chartevents,,,,
109,104,CT #3 Drainage,,carevue,chartevents,,,,
110,105,CT #3 Dressing,,carevue,chartevents,,,,
111,106,CT #3 [Fluctuate],,carevue,chartevents,,,,
112,107,CT #3 Suction Amount,,carevue,chartevents,,,,
113,108,CT #4 Crepitus,,carevue,chartevents,,,,
114,109,CT #4 Drainage,,carevue,chartevents,,,,
115,110,CT #4 Dressing,,carevue,chartevents,,,,
116,111,CT #4 [Fluctuate],,carevue,chartevents,,,,
117,112,CT #4 Suction Amount,,carevue,chartevents,,,,
118,113,CVP,,carevue,chartevents,,,,
119,114,CaO2,,carevue,chartevents,,,,
120,115,Capillary Refill [Right],,carevue,chartevents,,,,
121,116,Cardiac Index,,carevue,chartevents,,,,
122,117,Catheter Insert Date,,carevue,chartevents,,,,
123,118,Cerv Collar Status,,carevue,chartevents,,,,
124,119,Cervical Collar Type,,carevue,chartevents,,,,
125,121,Chest PT [Right],,carevue,chartevents,,,,
126,122,Chest Tube Site #1,,carevue,chartevents,,,,
127,123,Chest Tube Site #2,,carevue,chartevents,,,,
128,124,Chest Tube Site #3,,carevue,chartevents,,,,
129,125,Chest Tube Site #4,,carevue,chartevents,,,,
130,127,Circulation/SkinInt,,carevue,chartevents,,,,
131,128,Code Status,,carevue,chartevents,,,,
132,129,Collar Care,,carevue,chartevents,,,,
133,130,Communication,,carevue,chartevents,,,,
134,131,Compliance (40-60ml),,carevue,chartevents,,,,
135,132,Compliance-Corrected,,carevue,chartevents,,,,
136,133,Cont.Nebulizer(Drug),,carevue,chartevents,,,,
137,134,Cooling [Device],,carevue,chartevents,,,,
138,135,Corneal Reflex [Right],,carevue,chartevents,,,,
139,136,Cough Effort,,carevue,chartevents,,,,
140,137,Cough Reflex,,carevue,chartevents,,,,
141,138,Cough Type,,carevue,chartevents,,,,
142,139,Cough/Deep Breathe,,carevue,chartevents,,,,
143,140,Cuff Leak,,carevue,chartevents,,,,
144,141,Cuff Pressure-Airway,,carevue,chartevents,,,,
145,142,Current Goal,,carevue,chartevents,,,,
146,143,CvO2,,carevue,chartevents,,,,
147,146,Dialysate Flow ml/hr,,carevue,chartevents,,,,
148,147,Dialysate Infusing,,carevue,chartevents,,,,
149,148,Dialysis Access Site,,carevue,chartevents,,,,
150,149,Dialysis Access Type,,carevue,chartevents,,,,
151,150,Dialysis Machine,,carevue,chartevents,,,,
152,151,Dialysis Site Appear,,carevue,chartevents,,,,
153,152,Dialysis Type,,carevue,chartevents,,,,
154,153,Diastolic Unloading,,carevue,chartevents,,,,
155,154,Diet Type,,carevue,chartevents,,,,
156,155,Doppler BP,,carevue,chartevents,,,,
157,156,Dorsal PedPulse [Right],,carevue,chartevents,,,,
158,157,ETT [Mark],,carevue,chartevents,,,,
159,158,ETT Position Change,,carevue,chartevents,,,,
160,159,Ectopy Frequency,,carevue,chartevents,,,,
161,160,Ectopy Frequency 2,,carevue,chartevents,,,,
162,161,Ectopy Type,,carevue,chartevents,,,,
163,162,Ectopy Type 2,,carevue,chartevents,,,,
164,163,Edema #1 [Location],,carevue,chartevents,,,,
165,164,Edema #2 [Location],,carevue,chartevents,,,,
166,165,Education Barrier,,carevue,chartevents,,,,
167,166,Education Handout,,carevue,chartevents,,,,
168,167,Education Learner,,carevue,chartevents,,,,
169,168,Education Method,,carevue,chartevents,,,,
170,169,Education Readiness,,carevue,chartevents,,,,
171,170,Education Response,,carevue,chartevents,,,,
172,171,Education Topic #1,,carevue,chartevents,,,,
173,172,Education Topic #2,,carevue,chartevents,,,,
174,173,Effluent Press mmHg,,carevue,chartevents,,,,
175,174,Emesis [Appearance],,carevue,chartevents,,,,
176,175,Energy Expenditure,,carevue,chartevents,,,,
177,176,Epi Infusion Rate,,carevue,chartevents,,,,
